"s","p","o","mapFile"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""d1""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""rxe""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","study:dateTimeInXSDString","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""d2""","study.ttl"
"study:CumulativeDrugAdministrationInterval","      rdfs:comment","""Calculate CumulativeProduct Administration Start and End dates from individual exposure data""","study.ttl"
"study:CumulativeDrugAdministrationInterval","  rdfs:comment","""""","study.ttl"
"study:CumulativeDrugAdministrationInterval","  rdfs:subClassOf","study:ActivityInterval","study.ttl"
"study:CumulativeDrugAdministrationInterval","  skos:definition","""""","study.ttl"
"study:CumulativeDrugAdministrationInterval","  skos:prefLabel","""Product administration interval""","study.ttl"
"study:Date","  rdf:type","owl:Class","study.ttl"
"study:Date","  rdfs:comment","""""","study.ttl"
"study:Date","  rdfs:subClassOf","time:Instant","study.ttl"
"study:Date","  skos:definition","""The date and time when something occurs or begins""","study.ttl"
"study:Date","  skos:prefLabel","""Date""","study.ttl"
"study:DeathFlag","  rdf:type","owl:Class","study.ttl"
"study:DeathFlag","  rdfs:subClassOf","study:Flag","study.ttl"
"study:DeathFlag","  skos:prefLabel","""Death flag""","study.ttl"
"study:DeathFlag","  code:hasMethod","code:Method_DERIVED","study.ttl"
"study:Deathdate","  rdf:type","owl:Class","study.ttl"
"study:Deathdate","  rdfs:comment","""""","study.ttl"
"study:Deathdate","  rdfs:subClassOf","study:EndInstant","study.ttl"
"study:Deathdate","  skos:definition","""""","study.ttl"
"study:Deathdate","  skos:prefLabel","""Deathdate""","study.ttl"
"study:DemogDataCollectionDate","  rdf:type","owl:Class","study.ttl"
"study:DemogDataCollectionDate","  rdfs:comment","""""","study.ttl"
"study:DemogDataCollectionDate","  rdfs:subClassOf","study:ActivityDate","study.ttl"
"study:DemogDataCollectionDate","  skos:definition","""""","study.ttl"
"study:DemogDataCollectionDate","  skos:prefLabel","""Demog data collect begin""","study.ttl"
"study:Derivation","  rdf:type","owl:Class","study.ttl"
"study:Derivation","  rdfs:subClassOf","study:Analysis","study.ttl"
"study:Derivation","  skos:altLabel","""""","study.ttl"
"study:Derivation","  skos:definition","""An Analysis that examines one or more observations for a HumanStudySubject and obtains a result that is also specific for that HumanStudySubject. ""","study.ttl"
"study:Derivation","  skos:note","""The key is that the result (e.g. derived variable) belongs to the HumanStudySubject. In contrast the result of an efficacy or safety analysis is specific for the study population, not the individual subject. ""","study.ttl"
"study:Derivation","  skos:prefLabel","""Derivation""","study.ttl"
"study:Document","  rdf:type","owl:Class","study.ttl"
"study:Document","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Document","  skos:altLabel","""""","study.ttl"
"study:Document","  skos:prefLabel","""Document""","study.ttl"
"study:DrugAdministrationComplete","  rdf:type","study:DrugAdministrationOutcome","study.ttl"
"study:DrugAdministrationComplete","  skos:prefLabel","""Drug administration complete""","study.ttl"
"study:DrugAdministrationOutcome","  rdf:type","owl:Class","study.ttl"
"study:DrugAdministrationOutcome","  rdfs:subClassOf","study:ActivityOutcome","study.ttl"
"study:DrugAdministrationOutcome","  skos:prefLabel","""Drug administration outcome""","study.ttl"
"study:EligibilityCriteria","  rdf:type","owl:Class","study.ttl"
"study:EligibilityCriteria","  rdfs:comment","""""","study.ttl"
"study:EligibilityCriteria","  rdfs:subClassOf","study:Rule","study.ttl"
"study:EligibilityCriteria","  skos:definition","""""","study.ttl"
"study:EligibilityCriteria","  skos:prefLabel","""Eligibility criteria""","study.ttl"
"study:EligibleSubject","  rdf:type","owl:Class","study.ttl"
"study:EligibleSubject","  rdfs:comment","""The eligible subject meets all eligibility criteria and is a candidate to proceed to the next activity, often allocation to a treatment strategy in a randomized trial.""","study.ttl"
"study:EligibleSubject","  rdfs:subClassOf","study:HumanStudySubject","study.ttl"
"study:EligibleSubject","  skos:definition","""A HumanStudySubject who has succesfully completed the Screening Activity""","study.ttl"
"study:EligibleSubject","  skos:prefLabel","""Eligible subject""","study.ttl"
"study:EndInstant","  rdf:type","owl:Class","study.ttl"
"study:EndInstant","  rdfs:comment","""""","study.ttl"
"study:EndInstant","  rdfs:subClassOf","time:Instant","study.ttl"
"study:EndInstant","  skos:definition","""""","study.ttl"
"study:EndInstant","  skos:prefLabel","""End""","study.ttl"
"study:EnrolledSubject","  rdf:type","owl:Class","study.ttl"
"study:EnrolledSubject","  rdfs:comment","""an Enrolled Subject includes Eligible subjects but may include ineligible subjects who are accidentally or intentionally allocated to a treatment arm; therefore is not a subClass of Eligible Subject necessarily. In a randomized trial, it is equivalent to a Randomized Subject. ""","study.ttl"
"study:EnrolledSubject","  rdfs:subClassOf","study:HumanStudySubject","study.ttl"
"study:EnrolledSubject","  skos:definition","""A Human Study Subject that has been allocated to a treatment arm in a Study""","study.ttl"
"study:EnrolledSubject","  skos:prefLabel","""Enrolled subject""","study.ttl"
"study:Entity","  rdf:type","owl:Class","study.ttl"
"study:Entity","  rdfs:comment","""""","study.ttl"
"study:Entity","  rdfs:subClassOf","study:StudyComponent","study.ttl"
"study:Entity","  skos:definition","""""","study.ttl"
"study:Entity","  skos:prefLabel","""Entity""","study.ttl"
"study:EthnicOutcome","  rdf:type","owl:Class","study.ttl"
"study:EthnicOutcome","  rdfs:subClassOf","study:CategoricalOutcome","study.ttl"
"study:EthnicOutcome","  skos:prefLabel","""Ethnic outcome""","study.ttl"
"study:Evaluator","  rdf:type","owl:Class","study.ttl"
"study:Evaluator","  rdfs:subClassOf","study:Party","study.ttl"
"study:Evaluator","  skos:definition","""<need definition to distinguish from study:Assessor>""","study.ttl"
"study:Evaluator","  skos:note","""Evaluator is used in CDISC. Need to find CDISC definition. ""","study.ttl"
"study:Evaluator","  skos:prefLabel","""QEVAL""","study.ttl"
"study:Event","  rdf:type","owl:Class","study.ttl"
"study:Event","  rdfs:comment","""""","study.ttl"
"study:Event","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Event","  skos:definition","""An occurrence; something that happens. An event persists in time. ""","study.ttl"
"study:Event","  skos:prefLabel","""Event""","study.ttl"
"study:FixedDoseDrugAdministration","  rdf:type","owl:Class","study.ttl"
"study:FixedDoseDrugAdministration","  rdfs:subClassOf","study:Intervention","study.ttl"
"study:FixedDoseDrugAdministration","  skos:definition","""A ClinicalIntervention where a fixed dosed of a drug product is administered over a documented interval of time. ""","study.ttl"
"study:FixedDoseDrugAdministration","  skos:prefLabel","""Fixed Dose Drug administration""","study.ttl"
"study:FixedDoseInterval","  rdf:type","owl:Class","study.ttl"
"study:FixedDoseInterval","  rdfs:subClassOf","study:ActivityInterval","study.ttl"
"study:FixedDoseInterval","  skos:definition","""Provides the start and end dates for a fixed dosing interval, i.e. during which the dose administered did not change""","study.ttl"
"study:FixedDoseInterval","  skos:prefLabel","""Fixed dose interval""","study.ttl"
"study:FixedDoseIntervalBegin","  rdf:type","owl:Class","study.ttl"
"study:FixedDoseIntervalBegin","  rdfs:subClassOf","study:ActivityBegin","study.ttl"
"study:FixedDoseIntervalBegin","  skos:prefLabel","""Fixed dose interval begin""","study.ttl"
"study:FixedDoseIntervalEnd","  rdf:type","owl:Class","study.ttl"
"study:FixedDoseIntervalEnd","  rdfs:subClassOf","study:ActivityEnd","study.ttl"
"study:FixedDoseIntervalEnd","  skos:prefLabel","""Fixed dose interval end""","study.ttl"
"study:Flag","  rdf:type","owl:Class","study.ttl"
"study:Flag","  rdfs:subClassOf","study:Derivation","study.ttl"
"study:Flag","  skos:altLabel","""""","study.ttl"
"study:Flag","  skos:definition","""A Derivation where the result (outcome) is binary e.g. Y/N. ""","study.ttl"
"study:Flag","  skos:prefLabel","""Flag""","study.ttl"
"study:HeightOutcome","  rdf:type","owl:Class","study.ttl"
"study:HeightOutcome","  rdfs:subClassOf","study:NumericOutcome","study.ttl"
"study:HeightOutcome","  rdfs:subClassOf","study:VitalSignOutcome","study.ttl"
"study:HeightOutcome","      rdf:type","owl:Restriction","study.ttl"
"study:HeightOutcome","      owl:allValuesFrom","code:HeightUnit","study.ttl"
"study:HeightOutcome","      owl:onProperty","code:hasUnit","study.ttl"
"study:HeightOutcome","  skos:prefLabel","""Height length outcome""","study.ttl"
"study:HumanStudySubject","  rdf:type","owl:Class","study.ttl"
"study:HumanStudySubject","  rdfs:comment","""The subject participates in at least one screening activity but may not necessarily pass screening or continue in the study""","study.ttl"
"study:HumanStudySubject","  rdfs:subClassOf","study:HumanSubject","study.ttl"
"study:HumanStudySubject","      rdf:type","owl:Restriction","study.ttl"
"study:HumanStudySubject","      owl:onProperty","study:participatesInStudy","study.ttl"
"study:HumanStudySubject","      owl:someValuesFrom","study:Study","study.ttl"
"study:HumanStudySubject","  skos:definition","""A Human Subject who participates in any Study Activity""","study.ttl"
"study:HumanStudySubject","  skos:prefLabel","""Human study subject""","study.ttl"
"study:HumanSubject","  rdf:type","owl:Class","study.ttl"
"study:HumanSubject","  rdfs:subClassOf","study:Person","study.ttl"
"study:HumanSubject","  skos:definition","""A Person of interest for participation in a Study. 45 CFR 46 defines a human subject as “a living individual about whom an investigator...conducting research obtains: Data through intervention or interaction with the individual, or Identifiable private information.”""","study.ttl"
"study:HumanSubject","  skos:note","""typically a Human Subject is the target of some recruitment activity or voluntarily inquires about participating in a Study. a human subject need not paraticipate in a study, but allows the collection of data or identifiable private information for the purpose of research. ""","study.ttl"
"study:HumanSubject","  skos:prefLabel","""Human subject""","study.ttl"
"study:Identifier","  rdf:type","owl:Class","study.ttl"
"study:Identifier","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Identifier","  skos:prefLabel","""Identifier""","study.ttl"
"study:Indication","  rdf:type","owl:Class","study.ttl"
"study:Indication","  rdfs:comment","""""","study.ttl"
"study:Indication","  rdfs:subClassOf","study:MedicalCondition","study.ttl"
"study:Indication","  skos:definition","""A medical condition that is the target of an Intervention""","study.ttl"
"study:Indication","  skos:prefLabel","""Indication""","study.ttl"
"study:InformedConsent","  rdf:type","owl:Class","study.ttl"
"study:InformedConsent","  rdfs:subClassOf","study:AdministrativeActivity","study.ttl"
"study:InformedConsent","      rdf:type","owl:Restriction","study.ttl"
"study:InformedConsent","      owl:allValuesFrom","study:InformedConsentOutcome","study.ttl"
"study:InformedConsent","      owl:onProperty","code:outcome","study.ttl"
"study:InformedConsent","  skos:altLabel","""""","study.ttl"
"study:InformedConsent","  skos:prefLabel","""Informed consent""","study.ttl"
"study:InformedConsentBegin","  rdf:type","owl:Class","study.ttl"
"study:InformedConsentBegin","  rdfs:comment","""""","study.ttl"
"study:InformedConsentBegin","  rdfs:subClassOf","study:ActivityBegin","study.ttl"
"study:InformedConsentBegin","  skos:definition","""""","study.ttl"
"study:InformedConsentBegin","  skos:prefLabel","""Informed consent begin""","study.ttl"
"study:InformedConsentEnd","  rdf:type","owl:Class","study.ttl"
"study:InformedConsentEnd","  rdfs:comment","""""","study.ttl"
"study:InformedConsentEnd","  rdfs:subClassOf","study:ActivityEnd","study.ttl"
"study:InformedConsentEnd","  skos:definition","""""","study.ttl"
"study:InformedConsentEnd","  skos:prefLabel","""Informed consent end""","study.ttl"
"study:InformedConsentInterval","  rdf:type","owl:Class","study.ttl"
"study:InformedConsentInterval","  rdfs:comment","""""","study.ttl"
"study:InformedConsentInterval","  rdfs:subClassOf","study:ActivityInterval","study.ttl"
"study:InformedConsentInterval","  skos:definition","""""","study.ttl"
"study:InformedConsentInterval","  skos:prefLabel","""Informed consent interval""","study.ttl"
"study:InformedConsentOutcome","  rdf:type","owl:Class","study.ttl"
"study:InformedConsentOutcome","  rdfs:subClassOf","study:AdministrativeActivityOutcome","study.ttl"
"study:InformedConsentOutcome","  skos:altLabel","""""","study.ttl"
"study:InformedConsentOutcome","  skos:prefLabel","""Informed consent outcome""","study.ttl"
"study:Intervention","  rdf:type","owl:Class","study.ttl"
"study:Intervention","  rdfs:comment","""""","study.ttl"
"study:Intervention","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:Intervention","  skos:definition","""A study activity that involves an interruption to the study subject's normal daily routine for the purpose of observing the subject's physical, psychological, or physiological state, and/or mitigating the effects of a medical condition. ""","study.ttl"
"study:Intervention","  skos:prefLabel","""Intervention""","study.ttl"
"study:InterventionDate","  rdf:type","owl:Class","study.ttl"
"study:InterventionDate","  rdfs:comment","""""","study.ttl"
"study:InterventionDate","  rdfs:subClassOf","study:ActivityDate","study.ttl"
"study:InterventionDate","  skos:definition","""""","study.ttl"
"study:InterventionDate","  skos:prefLabel","""Intervention date""","study.ttl"
"study:InterventionOutcome","  rdf:type","owl:Class","study.ttl"
"study:InterventionOutcome","  rdfs:subClassOf","study:ActivityOutcome","study.ttl"
"study:InterventionOutcome","  skos:altLabel","""""","study.ttl"
"study:InterventionOutcome","  skos:prefLabel","""Intervention outcome""","study.ttl"
"study:InvestigationalProduct","  rdf:type","owl:Class","study.ttl"
"study:InvestigationalProduct","  rdfs:subClassOf","study:ActiveProduct","study.ttl"
"study:InvestigationalProduct","  owl:equivalentClass","<http://www.bridgmodel.org/owl#StudyAgent>","study.ttl"
"study:InvestigationalProduct","  skos:altLabel","""""","study.ttl"
"study:InvestigationalProduct","  skos:prefLabel","""Investigational product""","study.ttl"
"study:InvestigationalSubstance","  rdf:type","owl:Class","study.ttl"
"study:InvestigationalSubstance","  rdfs:subClassOf","study:Substance","study.ttl"
"study:InvestigationalSubstance","  skos:altLabel","""""","study.ttl"
"study:InvestigationalSubstance","  skos:prefLabel","""Investigational substance""","study.ttl"
"study:Investigator","  rdf:type","owl:Class","study.ttl"
"study:Investigator","  rdfs:comment","""""","study.ttl"
"study:Investigator","  rdfs:subClassOf","study:ResearchStaff","study.ttl"
"study:Investigator","  skos:definition","""""","study.ttl"
"study:Investigator","  skos:prefLabel","""Investigator""","study.ttl"
"study:InvestigatorIdentifier","  rdf:type","owl:Class","study.ttl"
"study:InvestigatorIdentifier","  rdfs:subClassOf","study:Identifier","study.ttl"
"study:InvestigatorIdentifier","  skos:prefLabel","""Investigator identifier""","study.ttl"
"study:LaboratoryObservation","  rdf:type","owl:Class","study.ttl"
"study:LaboratoryObservation","  rdfs:comment","""""","study.ttl"
"study:LaboratoryObservation","  rdfs:subClassOf","study:Observation","study.ttl"
"study:LaboratoryObservation","  skos:definition","""A Clinical Observation that requires the collection of a biospecimen for submission to a laboratory for further inspection""","study.ttl"
"study:LaboratoryObservation","  skos:prefLabel","""Laboratory observation""","study.ttl"
"study:Lifespan","  rdf:type","owl:Class","study.ttl"
"study:Lifespan","  rdfs:comment","""""","study.ttl"
"study:Lifespan","  rdfs:subClassOf","time:Interval","study.ttl"
"study:Lifespan","  skos:definition","""""","study.ttl"
"study:Lifespan","  skos:prefLabel","""Lifespan""","study.ttl"
"study:MedicalCondition","  rdf:type","owl:Class","study.ttl"
"study:MedicalCondition","  rdfs:subClassOf","study:Event","study.ttl"
"study:MedicalCondition","  skos:note","""Medical conditions are the target of medical interventions.  Medical conditions explain the presence of clinical observations.  Most clinicians will agree that pregnancy is a medical condition because it benefits from medical intervention (e.g. prenatal care) to minimize complications to the mother and unborn child""","study.ttl"
"study:MedicalCondition","  skos:prefLabel","""Medical condition""","study.ttl"
"study:NumericOutcome","  rdf:type","owl:Class","study.ttl"
"study:NumericOutcome","  rdfs:subClassOf","study:ObservationOutcome","study.ttl"
"study:Observation","  rdf:type","owl:Class","study.ttl"
"study:Observation","  rdfs:subClassOf","study:Intervention","study.ttl"
"study:Observation","  skos:definition",""" An Intervention whose intent is to measure the physical, physiological, or psychological state of a Person.""","study.ttl"
"study:Observation","  skos:prefLabel","""Observation""","study.ttl"
"study:ObservationEndDate","  rdf:type","owl:Class","study.ttl"
"study:ObservationEndDate","  rdfs:comment","""""","study.ttl"
"study:ObservationEndDate","  rdfs:subClassOf","study:ActivityEnd","study.ttl"
"study:ObservationEndDate","  skos:definition","""""","study.ttl"
"study:ObservationEndDate","  skos:prefLabel","""Observation end date""","study.ttl"
"study:ObservationOutcome","  rdf:type","owl:Class","study.ttl"
"study:ObservationOutcome","  rdfs:subClassOf","study:InterventionOutcome","study.ttl"
"study:ObservationOutcome","  skos:altLabel","""""","study.ttl"
"study:ObservationOutcome","  skos:prefLabel","""Observation outcome""","study.ttl"
"study:Organization","  rdf:type","owl:Class","study.ttl"
"study:Organization","  rdfs:comment","""""","study.ttl"
"study:Organization","  rdfs:subClassOf","study:Party","study.ttl"
"study:Organization","  skos:definition","""""","study.ttl"
"study:Organization","  skos:prefLabel","""Organization""","study.ttl"
"study:Party","  rdf:type","owl:Class","study.ttl"
"study:Party","  rdfs:comment","""""","study.ttl"
"study:Party","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Party","  skos:definition","""A Person or an Organization.""","study.ttl"
"study:Party","  skos:prefLabel","""Party""","study.ttl"
"study:PerformedActivity","  rdf:type","owl:Class","study.ttl"
"study:PerformedActivity","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:PerformedActivity","      rdf:type","owl:Restriction","study.ttl"
"study:PerformedActivity","      owl:hasValue","code:ActivityStatus_CO","study.ttl"
"study:PerformedActivity","      owl:onProperty","study:activityStatus","study.ttl"
"study:PerformedActivity","  skos:definition","""An Activity that was performed on a specific time interval or instant. It has activity status as COMPLETE""","study.ttl"
"study:PerformedActivity","  skos:prefLabel","""Performed activity""","study.ttl"
"study:PerformedActivityDate","  rdf:type","owl:Class","study.ttl"
"study:PerformedActivityDate","  rdfs:subClassOf","study:ActivityDate","study.ttl"
"study:PerformedActivityDate","  skos:prefLabel","""Performed activity date""","study.ttl"
"study:Person","  rdf:type","owl:Class","study.ttl"
"study:Person","      rdf:type","sp:Construct","study.ttl"
"study:Person","                sp:varName","""age""","study.ttl"
"study:Person","            sp:predicate","code:hasAge","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","            sp:object","study:Person","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","                sp:varName","""ageactivity""","study.ttl"
"study:Person","            sp:predicate","study:participatesIn","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","            sp:object","code:AgeDataCollection","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","                sp:varName","""ageactivity""","study.ttl"
"study:Person","                sp:varName","""age""","study.ttl"
"study:Person","            sp:predicate","code:outcome","study.ttl"
"study:Person","                sp:varName","""ageactivity""","study.ttl"
"study:Person","            sp:object","study:AgeOutcome","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","                sp:varName","""age""","study.ttl"
"study:Person","      rdfs:comment","""age assignment""","study.ttl"
"study:Person","      rdf:type","sp:Construct","study.ttl"
"study:Person","                sp:varName","""race""","study.ttl"
"study:Person","            sp:predicate","study:race","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","            sp:object","study:Person","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","                sp:varName","""raceactivity""","study.ttl"
"study:Person","            sp:predicate","study:participatesIn","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","            sp:object","code:RaceDataCollection","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","                sp:varName","""raceactivity""","study.ttl"
"study:Person","                sp:varName","""race""","study.ttl"
"study:Person","            sp:predicate","code:outcome","study.ttl"
"study:Person","                sp:varName","""raceactivity""","study.ttl"
"study:Person","            sp:object","study:RaceOutcome","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","                sp:varName","""race""","study.ttl"
"study:Person","      rdfs:comment","""race assignment""","study.ttl"
"study:Person","      rdf:type","sp:Construct","study.ttl"
"study:Person","                sp:varName","""sex""","study.ttl"
"study:Person","            sp:predicate","study:sex","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","            sp:object","study:Person","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","                sp:varName","""sexactivity""","study.ttl"
"study:Person","            sp:predicate","study:participatesIn","study.ttl"
"study:Person","            sp:subject","spin:_this","study.ttl"
"study:Person","            sp:object","code:SexDataCollection","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","                sp:varName","""sexactivity""","study.ttl"
"study:Person","                sp:varName","""sex""","study.ttl"
"study:Person","            sp:predicate","code:outcome","study.ttl"
"study:Person","                sp:varName","""sexactivity""","study.ttl"
"study:Person","            sp:object","study:SexOutcome","study.ttl"
"study:Person","            sp:predicate","rdf:type","study.ttl"
"study:Person","                sp:varName","""sex""","study.ttl"
"study:Person","      rdfs:comment","""sex assignment""","study.ttl"
"study:Person","  rdfs:comment","""""","study.ttl"
"study:Person","  rdfs:subClassOf","study:Party","study.ttl"
"study:Person","  skos:definition","""""","study.ttl"
"study:Person","  skos:prefLabel","""Person""","study.ttl"
"study:PlaceboProduct","  rdf:type","owl:Class","study.ttl"
"study:PlaceboProduct","  rdfs:subClassOf","study:Product","study.ttl"
"study:PlaceboProduct","  skos:altLabel","""""","study.ttl"
"study:PlaceboProduct","  skos:prefLabel","""Placebo product""","study.ttl"
"study:PlannedActivity","  rdf:type","owl:Class","study.ttl"
"study:PlannedActivity","  rdfs:comment","""a planned activity can also be a completed activity if it has a protocol specified start rule. ""","study.ttl"
"study:PlannedActivity","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:PlannedActivity","      rdf:type","owl:Restriction","study.ttl"
"study:PlannedActivity","      owl:allValuesFrom","study:HumanStudySubject","study.ttl"
"study:PlannedActivity","      owl:onProperty","study:hasParticipant","study.ttl"
"study:PlannedActivity","      rdf:type","owl:Restriction","study.ttl"
"study:PlannedActivity","      owl:allValuesFrom","study:StartRule","study.ttl"
"study:PlannedActivity","      owl:onProperty","study:hasStartRule","study.ttl"
"study:PlannedActivity","  skos:definition","""An Activity that is or was intended to occur. It is associated with a performer and/or a participant and is associated with a start rule that is described in the protocol. ""","study.ttl"
"study:PlannedActivity","  skos:prefLabel","""Planned activity""","study.ttl"
"study:PopulationFlag","  rdf:type","owl:Class","study.ttl"
"study:PopulationFlag","  rdfs:subClassOf","study:Flag","study.ttl"
"study:PopulationFlag","  skos:altLabel","""""","study.ttl"
"study:PopulationFlag","  skos:prefLabel","""Population flag""","study.ttl"
"study:PrerequisiteActivity","  rdf:type","owl:Class","study.ttl"
"study:PrerequisiteActivity","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:PrerequisiteActivity","  skos:definition","""A StudyActivity whose Date functions as a time point reference for other activities. ""","study.ttl"
"study:PrerequisiteActivity","  skos:note","""For example: An activity to assume a supine body position can be a prerequisite activity for a BP measurement 5 minutes later. An activity outcome could be a medical condition, e.g. the ActivityOutcome can be a migraine headache, which triggers another activity: drug administration. ""","study.ttl"
"study:PrerequisiteActivity","  skos:prefLabel","""Anchor / Time Point Reference""","study.ttl"
"study:Product","  rdf:type","owl:Class","study.ttl"
"study:Product","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Product","  skos:altLabel","""""","study.ttl"
"study:Product","  skos:prefLabel","""Product""","study.ttl"
"study:ProtocolDocument","  rdf:type","owl:Class","study.ttl"
"study:ProtocolDocument","  rdfs:subClassOf","study:Document","study.ttl"
"study:ProtocolDocument","  skos:altLabel","""""","study.ttl"
"study:ProtocolDocument","  skos:prefLabel","""Protocol document""","study.ttl"
"study:ProtocolSpecifiedActivity","  rdf:type","owl:Class","study.ttl"
"study:ProtocolSpecifiedActivity","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:ProtocolSpecifiedActivity","  skos:definition","""A StudyActivity that is specified in the Protocol to occur in the Study. It is associated with a start rule but not necessarily with a subject. A protocol specified activity is instantiated for each Subject in the study. The instance of a protocol specified activity becomes a Planned Activity. ""","study.ttl"
"study:ProtocolSpecifiedActivity","  skos:prefLabel","""Protocol specified activity""","study.ttl"
"study:PulseOutcome","  rdf:type","owl:Class","study.ttl"
"study:PulseOutcome","  rdfs:subClassOf","study:NumericOutcome","study.ttl"
"study:PulseOutcome","  rdfs:subClassOf","study:VitalSignOutcome","study.ttl"
"study:PulseOutcome","      rdf:type","owl:Restriction","study.ttl"
"study:PulseOutcome","      owl:allValuesFrom","code:PulseUnit","study.ttl"
"study:PulseOutcome","      owl:onProperty","code:hasUnit","study.ttl"
"study:PulseOutcome","  skos:prefLabel","""Pulse or Heart Rate outcome""","study.ttl"
"study:RaceOutcome","  rdf:type","owl:Class","study.ttl"
"study:RaceOutcome","  rdfs:subClassOf","study:CategoricalOutcome","study.ttl"
"study:RaceOutcome","  skos:prefLabel","""Race outcome""","study.ttl"
"study:Randomization","  rdf:type","owl:Class","study.ttl"
"study:Randomization","  rdfs:comment","""""","study.ttl"
"study:Randomization","  rdfs:subClassOf","study:Allocation","study.ttl"
"study:Randomization","      rdf:type","owl:Restriction","study.ttl"
"study:Randomization","      owl:allValuesFrom","study:RandomizationOutcome","study.ttl"
"study:Randomization","      owl:onProperty","code:outcome","study.ttl"
"study:Randomization","  skos:definition","""""","study.ttl"
"study:Randomization","  skos:prefLabel","""Randomization""","study.ttl"
"study:RandomizationOutcome","  rdf:type","owl:Class","study.ttl"
"study:RandomizationOutcome","  rdfs:subClassOf","study:AllocationOutcome","study.ttl"
"study:RandomizationOutcome","  skos:altLabel","""""","study.ttl"
"study:RandomizationOutcome","  skos:prefLabel","""Randomization outcome""","study.ttl"
"study:ReferenceBegin","  rdf:type","owl:Class","study.ttl"
"study:ReferenceBegin","  rdfs:comment","""""","study.ttl"
"study:ReferenceBegin","  rdfs:subClassOf","study:BeginInstant","study.ttl"
"study:ReferenceBegin","  skos:definition","""""","study.ttl"
"study:ReferenceBegin","  skos:prefLabel","""Reference start date""","study.ttl"
"study:ReferenceEnd","  rdf:type","owl:Class","study.ttl"
"study:ReferenceEnd","  rdfs:comment","""""","study.ttl"
"study:ReferenceEnd","  rdfs:subClassOf","study:EndInstant","study.ttl"
"study:ReferenceEnd","  skos:definition","""""","study.ttl"
"study:ReferenceEnd","  skos:prefLabel","""Reference end date""","study.ttl"
"study:ReferenceInterval","  rdf:type","owl:Class","study.ttl"
"study:ReferenceInterval","  rdfs:comment","""""","study.ttl"
"study:ReferenceInterval","  rdfs:subClassOf","time:Interval","study.ttl"
"study:ReferenceInterval","  skos:definition","""""","study.ttl"
"study:ReferenceInterval","  skos:prefLabel","""Reference interval""","study.ttl"
"study:ResearchStaff","  rdf:type","owl:Class","study.ttl"
"study:ResearchStaff","  rdfs:comment","""""","study.ttl"
"study:ResearchStaff","  rdfs:subClassOf","study:Person","study.ttl"
"study:ResearchStaff","  owl:equivalentClass","<http://www.bridgmodel.org/owl#ResearchStaff>","study.ttl"
"study:ResearchStaff","  skos:definition","""""","study.ttl"
"study:ResearchStaff","  skos:prefLabel","""Research staff""","study.ttl"
"study:Rule","  rdf:type","owl:Class","study.ttl"
"study:Rule","  rdfs:comment","""""","study.ttl"
"study:Rule","  rdfs:subClassOf","study:Analysis","study.ttl"
"study:Rule","      rdf:type","owl:Restriction","study.ttl"
"study:Rule","      owl:allValuesFrom","study:RuleOutcome","study.ttl"
"study:Rule","      owl:onProperty","code:outcome","study.ttl"
"study:Rule","  skos:definition","""An Analysis that examines whether one or more observations or derivations meet certain pre-defined target(s). If the target is met, then the rule outcome is set to true, otherwise it is set to false if the target is not met ""","study.ttl"
"study:Rule","  skos:example","""1.  Age >= 18  or 2. Sex = Female""","study.ttl"
"study:Rule","  skos:prefLabel","""Rule""","study.ttl"
"study:RuleOutcome","  rdf:type","owl:Class","study.ttl"
