"","s","p","o","mapFile"
"345","code:ExRoute_TRANSDERMAL","  code:hasCodeSystem","code:CodeSystem_CDISCTerminology","code.ttl"
"346","code:GenericOutcome","  rdf:type","owl:Class","code.ttl"
"347","code:GenericOutcome","  rdfs:subClassOf","code:CategoricalOutcome","code.ttl"
"348","code:GenericOutcome","  rdfs:subClassOf","code:ObservationOutcome","code.ttl"
"349","code:Height","  rdf:type","owl:Class","code.ttl"
"350","code:Height","  rdf:type","mms:PermissibleValue","code.ttl"
"351","code:Height","  rdfs:subClassOf","code:VitalSign","code.ttl"
"352","code:Height","      rdf:type","owl:Restriction","code.ttl"
"353","code:Height","      owl:allValuesFrom","code:HeightOutcome","code.ttl"
"354","code:Height","      owl:onProperty","code:outcome","code.ttl"
"355","code:Height","      rdf:type","owl:Restriction","code.ttl"
"356","code:Height","      owl:hasValue","""HEIGHT""","code.ttl"
"357","code:Height","      owl:onProperty","skos:prefLabel","code.ttl"
"358","code:Height","      rdf:type","owl:Restriction","code.ttl"
"359","code:Height","      owl:hasValue","""Height""","code.ttl"
"360","code:Height","      owl:onProperty","skos:altLabel","code.ttl"
"361","code:Height","  skos:prefLabel","""Height""","code.ttl"
"362","code:Height","  schema:cdiscDefinition","""The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension. (NCI)""","code.ttl"
"363","code:Height","  schema:cdiscSubmissionValue","""Height""","code.ttl"
"364","code:Height","  schema:cdiscSynonyms","""Height""","code.ttl"
"365","code:Height","  schema:nciCode","""C25347""","code.ttl"
"366","code:Height","  schema:nciPreferredTerm","""Height""","code.ttl"
"367","code:Height","  mms:inValueDomain","sdtmterm:C67153","code.ttl"
"368","code:HeightOutcome","  rdf:type","owl:Class","code.ttl"
"369","code:HeightOutcome","  rdfs:label","""Height outcome""","code.ttl"
"370","code:HeightOutcome","  rdfs:subClassOf","code:NumericOutcome","code.ttl"
"371","code:HeightOutcome","  rdfs:subClassOf","code:VitalSignsOutcome","code.ttl"
"372","code:HeightUnit","  rdf:type","owl:Class","code.ttl"
"373","code:HeightUnit","  rdfs:subClassOf","code:Unit","code.ttl"
"374","code:HeightUnit","  skos:altLabel","""""","code.ttl"
"375","code:HeightUnit","  skos:prefLabel","""Height unit""","code.ttl"
"376","code:Indication","  rdf:type","owl:Class","code.ttl"
"377","code:Indication","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"378","code:Indication","  skos:definition","""The reason for performing a clinical Intervention. An Indication has three components: [1] the IndicationType (e.g. TREATMENT, DIAGNOSIS), [2] the IndicationCondition (a Medical Condition), and [3] an optional third component describing an Underlying Medical Condition. The Indication is associated with the most important component of an Intervention, such as a drug, device, or surgery. ""","code.ttl"
"379","code:Indication","  skos:example","""The CURE of HEPATITIS C INFECTION""","code.ttl"
"380","code:Indication","  skos:example","""The TREATMENT of ALZHEIMER'S DISEASE in patients with MILD TO MODERATE ALZHEIMER'S DISEASE""","code.ttl"
"381","code:Indication","  skos:example","""The TREATMENT of HEADACHE in patients with MIGRAINE""","code.ttl"
"382","code:Indication","  skos:example","""The TREATMENT of RHINITIS in patients with SEASONAL ALLERGIC RHINITIS.""","code.ttl"
"383","code:Indication","  skos:prefLabel","""Indication""","code.ttl"
"384","code:IndicationType","  rdf:type","owl:Class","code.ttl"
"385","code:IndicationType","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"386","code:IndicationType","      rdf:type","owl:Restriction","code.ttl"
"387","code:IndicationType","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"388","code:IndicationType","      owl:onProperty","code:hasCodeSystem","code.ttl"
"389","code:IndicationType","  skos:prefLabel","""Indication type""","code.ttl"
"390","code:Indication_01","  rdf:type","code:Indication","code.ttl"
"391","code:Indication_01","  skos:prefLabel","""Indication 01""","code.ttl"
"392","code:Indication_01","  code:indicationCondition","code:MedicalCondition_AD","code.ttl"
"393","code:Indication_01","  code:indicationType","sdtmterm:IndicationType_TREATMENT","code.ttl"
"394","code:Indication_01","  code:underlyingCondition","code:MedicalCondition_PMMAD","code.ttl"
"395","code:InformedConsent","  rdf:type","owl:Class","code.ttl"
"396","code:InformedConsent","  rdf:type","sh:NodeShape","code.ttl"
"397","code:InformedConsent","  rdfs:comment","""""","code.ttl"
"398","code:InformedConsent","  rdfs:subClassOf","code:AdministrativeActivity","code.ttl"
"399","code:InformedConsent","  skos:definition","""""","code.ttl"
"400","code:InformedConsent","  skos:prefLabel","""Informed consent term""","code.ttl"
"401","code:InformedConsent","      rdf:type","sh:PropertyShape","code.ttl"
"402","code:InformedConsent","      sh:path","code:outcome","code.ttl"
"403","code:InformedConsent","      sh:maxCount","1","code.ttl"
"404","code:InformedConsent","      sh:minCount","1","code.ttl"
"405","code:InformedConsent","      sh:name","""outcome""","code.ttl"
"406","code:InformedConsent","      sh:node","code:InformedConsentOutcome","code.ttl"
"407","code:InformedConsent","      sh:nodeKind","sh:IRI","code.ttl"
"408","code:InformedConsentAdult","  rdf:type","owl:Class","code.ttl"
"409","code:InformedConsentAdult","  rdfs:subClassOf","code:InformedConsent","code.ttl"
"410","code:InformedConsentAdult","  skos:altLabel","""""","code.ttl"
"411","code:InformedConsentAdult","  skos:prefLabel","""informedconsent ADULT""","code.ttl"
"412","code:InformedConsentOutcome","  rdf:type","owl:Class","code.ttl"
"413","code:InformedConsentOutcome","  rdf:type","sh:NodeShape","code.ttl"
"414","code:InformedConsentOutcome","  rdfs:comment","""""","code.ttl"
"415","code:InformedConsentOutcome","  rdfs:subClassOf","code:AdministrativeActivityOutcome","code.ttl"
"416","code:InformedConsentOutcome","  rdfs:subClassOf","code:CategoricalOutcome","code.ttl"
"417","code:InformedConsentOutcome","  skos:definition","""""","code.ttl"
"418","code:InformedConsentOutcome","  skos:prefLabel","""Informed consent outcome""","code.ttl"
"419","code:InformedConsentOutcome","  code:isExtensible","""false""^^xsd:boolean","code.ttl"
"420","code:InformedConsentOutcome_1","  rdf:type","code:InformedConsentOutcome","code.ttl"
"421","code:InformedConsentOutcome_1","  rdfs:comment","""""","code.ttl"
"422","code:InformedConsentOutcome_1","  skos:definition","""""","code.ttl"
"423","code:InformedConsentOutcome_1","  skos:prefLabel","""informed consent granted""","code.ttl"
"424","code:InformedConsentOutcome_2","  rdf:type","code:InformedConsentOutcome","code.ttl"
"425","code:InformedConsentOutcome_2","  rdfs:comment","""""","code.ttl"
"426","code:InformedConsentOutcome_2","  skos:definition","""""","code.ttl"
"427","code:InformedConsentOutcome_2","  skos:prefLabel","""Informed consent not granted""","code.ttl"
"428","code:InformedConsentOutcome_3","  rdf:type","code:InformedConsentOutcome","code.ttl"
"429","code:InformedConsentOutcome_3","  rdfs:comment","""""","code.ttl"
"430","code:InformedConsentOutcome_3","  skos:definition","""""","code.ttl"
"431","code:InformedConsentOutcome_3","  skos:prefLabel","""Informed consent withdrawn""","code.ttl"
"432","code:Intervention","  rdf:type","owl:Class","code.ttl"
"433","code:Intervention","  rdfs:comment","""""","code.ttl"
"434","code:Intervention","  rdfs:subClassOf","code:DefinedActivity","code.ttl"
"435","code:Intervention","  skos:definition","""""","code.ttl"
"436","code:Intervention","  skos:prefLabel","""Intervention term""","code.ttl"
"437","code:InterventionModel","  rdf:type","owl:Class","code.ttl"
"438","code:InterventionModel","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"439","code:InterventionModel","      rdf:type","owl:Restriction","code.ttl"
"440","code:InterventionModel","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"441","code:InterventionModel","      owl:onProperty","code:hasCodeSystem","code.ttl"
"442","code:InterventionModel","  skos:prefLabel","""Intervention model""","code.ttl"
"443","code:InterventionOutcome","  rdf:type","owl:Class","code.ttl"
"444","code:InterventionOutcome","  rdfs:comment","""""","code.ttl"
"445","code:InterventionOutcome","  rdfs:subClassOf","code:DefinedActivityOutcome","code.ttl"
"446","code:InterventionOutcome","  skos:definition","""""","code.ttl"
"447","code:InterventionOutcome","  skos:prefLabel","""Intervention outcome term""","code.ttl"
"448","code:InterventionType","  rdf:type","owl:Class","code.ttl"
"449","code:InterventionType","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"450","code:InterventionType","      rdf:type","owl:Restriction","code.ttl"
"451","code:InterventionType","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"452","code:InterventionType","      owl:onProperty","code:hasCodeSystem","code.ttl"
"453","code:InterventionType","  skos:prefLabel","""Study type""","code.ttl"
"454","code:Laterality","  rdf:type","owl:Class","code.ttl"
"455","code:Laterality","  rdfs:comment","""""","code.ttl"
"456","code:Laterality","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"457","code:Laterality","  skos:definition","""""","code.ttl"
"458","code:Laterality","  skos:prefLabel","""Laterality term""","code.ttl"
"459","code:Laterality_LEFT","  rdf:type","code:Laterality","code.ttl"
"460","code:Laterality_LEFT","  rdf:type","mms:PermissibleValue","code.ttl"
"461","code:Laterality_LEFT","  skos:prefLabel","""LEFT""","code.ttl"
"462","code:Laterality_LEFT","  schema:cdiscDefinition","""Being or located on or directed toward the side of the body to the west when facing north.""","code.ttl"
"463","code:Laterality_LEFT","  schema:cdiscSubmissionValue","""LEFT""","code.ttl"
"464","code:Laterality_LEFT","  schema:nciCode","""C25229""","code.ttl"
"465","code:Laterality_LEFT","  schema:nciPreferredTerm","""Left""","code.ttl"
"466","code:Laterality_LEFT","  mms:inValueDomain","sdtmterm:C99073","code.ttl"
"467","code:Laterality_RIGHT","  rdf:type","code:Laterality","code.ttl"
"468","code:Laterality_RIGHT","  rdf:type","mms:PermissibleValue","code.ttl"
"469","code:Laterality_RIGHT","  skos:prefLabel","""RIGHT""","code.ttl"
"470","code:Laterality_RIGHT","  schema:cdiscDefinition","""Being or located on or directed toward the side of the body to the east when facing north.""","code.ttl"
"471","code:Laterality_RIGHT","  schema:cdiscSubmissionValue","""RIGHT""","code.ttl"
"472","code:Laterality_RIGHT","  schema:nciCode","""C25228""","code.ttl"
"473","code:Laterality_RIGHT","  schema:nciPreferredTerm","""Right""","code.ttl"
"474","code:Laterality_RIGHT","  mms:inValueDomain","sdtmterm:C99073","code.ttl"
"475","code:MedicalCondition","  rdf:type","owl:Class","code.ttl"
"476","code:MedicalCondition","  rdfs:comment","""""","code.ttl"
"477","code:MedicalCondition","  rdfs:subClassOf","code:CategoricalOutcome","code.ttl"
"478","code:MedicalCondition","  rdfs:subClassOf","code:DefinedActivityOutcome","code.ttl"
"479","code:MedicalCondition","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"480","code:MedicalCondition","  skos:prefLabel","""Medical condition term""","code.ttl"
"481","code:MedicalCondition_AD","  rdf:type","code:MedicalCondition","code.ttl"
"482","code:MedicalCondition_AD","  skos:prefLabel","""Alzheimer's Disease""","code.ttl"
"483","code:MedicalCondition_AD","  code:hasCode","""26929004""","code.ttl"
"484","code:MedicalCondition_AD","  code:hasCodeSystem","code:CodeSystem_SNOMED","code.ttl"
"485","code:MedicalCondition_PMMAD","  rdf:type","code:MedicalCondition","code.ttl"
"486","code:MedicalCondition_PMMAD","  skos:prefLabel","""Patients with Probable Mild to Moderate Alzheimer's Disease""","code.ttl"
"487","code:Method","  rdf:type","owl:Class","code.ttl"
"488","code:Method","  rdfs:comment","""""","code.ttl"
"489","code:Method","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"490","code:Method","  skos:definition","""""","code.ttl"
"491","code:Method","  skos:prefLabel","""Method""","code.ttl"
"492","code:Method_ASSIGNED","  rdf:type","code:Method","code.ttl"
"493","code:Method_ASSIGNED","  rdfs:comment","""""","code.ttl"
"494","code:Method_ASSIGNED","  skos:definition","""The method used to obtain the activity outcome""","code.ttl"
"495","code:Method_ASSIGNED","  skos:prefLabel","""ASSIGNED""","code.ttl"
"496","code:Method_COLLECTED","  rdf:type","code:Method","code.ttl"
"497","code:Method_COLLECTED","  rdfs:comment","""""","code.ttl"
"498","code:Method_COLLECTED","  skos:definition","""The method used to obtain the activity outcome""","code.ttl"
"499","code:Method_COLLECTED","  skos:prefLabel","""COLLECTED""","code.ttl"
"500","code:Method_DERIVED","  rdf:type","code:Method","code.ttl"
"501","code:Method_DERIVED","  rdfs:comment","""""","code.ttl"
"502","code:Method_DERIVED","  skos:definition","""""","code.ttl"
"503","code:Method_DERIVED","  skos:prefLabel","""DERIVED""","code.ttl"
"504","code:NoYesResponse","  rdf:type","owl:Class","code.ttl"
"505","code:NoYesResponse","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"506","code:NoYesResponse","      rdf:type","owl:Restriction","code.ttl"
"507","code:NoYesResponse","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"508","code:NoYesResponse","      owl:onProperty","code:hasCodeSystem","code.ttl"
"509","code:NoYesResponse","  skos:prefLabel","""No yes response""","code.ttl"
"510","code:NullFlavor","  rdf:type","owl:Class","code.ttl"
"511","code:NullFlavor","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"512","code:NullFlavor","  skos:altLabel","""""","code.ttl"
"513","code:NullFlavor","  skos:definition","""Provides an attribute to describe why a value/data point is missing""","code.ttl"
"514","code:NullFlavor","  skos:prefLabel","""Null flavor""","code.ttl"
"515","code:NullFlavor","  code:hasIdentifier","""2.16.840.1.113883.5.1008""","code.ttl"
"516","code:NullFlavor_1","  rdf:type","code:NullFlavor","code.ttl"
"517","code:NullFlavor_1","  skos:altLabel","""No Information""","code.ttl"
"518","code:NullFlavor_1","  skos:prefLabel","""NI""","code.ttl"
"519","code:NullFlavor_10","  rdf:type","code:NullFlavor","code.ttl"
"520","code:NullFlavor_10","  skos:altLabel","""Temporarily unavailable""","code.ttl"
"521","code:NullFlavor_10","  skos:prefLabel","""NAV""","code.ttl"
"522","code:NullFlavor_11","  rdf:type","code:NullFlavor","code.ttl"
"523","code:NullFlavor_11","  skos:altLabel","""Not Asked""","code.ttl"
"524","code:NullFlavor_11","  skos:definition","""This information has not been sought""","code.ttl"
"525","code:NullFlavor_11","  skos:example","""Patient was not asked""","code.ttl"
"526","code:NullFlavor_11","  skos:prefLabel","""NASK""","code.ttl"
"527","code:NullFlavor_12","  rdf:type","code:NullFlavor","code.ttl"
"528","code:NullFlavor_12","  skos:altLabel","""Quantity sufficient""","code.ttl"
"529","code:NullFlavor_12","  skos:prefLabel","""QS""","code.ttl"
"530","code:NullFlavor_13","  rdf:type","code:NullFlavor","code.ttl"
"531","code:NullFlavor_13","  skos:altLabel","""Trace""","code.ttl"
"532","code:NullFlavor_13","  skos:definition","""The content is greater than zero, but too small to be quantified.""","code.ttl"
"533","code:NullFlavor_13","  skos:prefLabel","""TRC""","code.ttl"
"534","code:NullFlavor_14","  rdf:type","code:NullFlavor","code.ttl"
"535","code:NullFlavor_14","  skos:altLabel","""Masked""","code.ttl"
"536","code:NullFlavor_14","  skos:prefLabel","""MSK""","code.ttl"
"537","code:NullFlavor_15","  rdf:type","code:NullFlavor","code.ttl"
"538","code:NullFlavor_15","  skos:altLabel","""Not applicable""","code.ttl"
"539","code:NullFlavor_15","  skos:definition","""No proper value is applicable in this context.	""","code.ttl"
"540","code:NullFlavor_15","  skos:example","""Last menstrual period for a male. ""","code.ttl"
"541","code:NullFlavor_15","  skos:prefLabel","""NA""","code.ttl"
"542","code:NullFlavor_2","  rdf:type","code:NullFlavor","code.ttl"
"543","code:NullFlavor_2","  skos:altLabel","""Invalid""","code.ttl"
"544","code:NullFlavor_2","  skos:prefLabel","""INV""","code.ttl"
"545","code:NullFlavor_3","  rdf:type","code:NullFlavor","code.ttl"
"546","code:NullFlavor_3","  skos:altLabel","""Other""","code.ttl"
"547","code:NullFlavor_3","  skos:prefLabel","""OTH""","code.ttl"
"548","code:NullFlavor_4","  rdf:type","code:NullFlavor","code.ttl"
"549","code:NullFlavor_4","  skos:altLabel","""Positive infinity""","code.ttl"
"550","code:NullFlavor_4","  skos:definition","""Positive infinity of numbers""","code.ttl"
"551","code:NullFlavor_4","  skos:prefLabel","""PINF""","code.ttl"
"552","code:NullFlavor_5","  rdf:type","code:NullFlavor","code.ttl"
"553","code:NullFlavor_5","  skos:altLabel","""Negative infinity""","code.ttl"
"554","code:NullFlavor_5","  skos:definition","""Negative Infinity of numbers""","code.ttl"
"555","code:NullFlavor_5","  skos:prefLabel","""NINF""","code.ttl"
"556","code:NullFlavor_6","  rdf:type","code:NullFlavor","code.ttl"
"557","code:NullFlavor_6","  skos:altLabel","""Unencoded""","code.ttl"
"558","code:NullFlavor_6","  skos:prefLabel","""UNC""","code.ttl"
"559","code:NullFlavor_7","  rdf:type","code:NullFlavor","code.ttl"
"560","code:NullFlavor_7","  skos:altLabel","""Derived""","code.ttl"
"561","code:NullFlavor_7","  skos:prefLabel","""DER""","code.ttl"
"562","code:NullFlavor_8","  rdf:type","code:NullFlavor","code.ttl"
"563","code:NullFlavor_8","  skos:altLabel","""Unknown""","code.ttl"
"564","code:NullFlavor_8","  skos:definition","""A proper value is applicable, but not known.""","code.ttl"
"565","code:NullFlavor_8","  skos:prefLabel","""UNK""","code.ttl"
"566","code:NullFlavor_9","  rdf:type","code:NullFlavor","code.ttl"
"567","code:NullFlavor_9","  skos:altLabel","""Asked but unknown""","code.ttl"
"568","code:NullFlavor_9","  skos:definition","""Information was sought but not found.""","code.ttl"
"569","code:NullFlavor_9","  skos:example","""Patient was asked but didn't know. ""","code.ttl"
"570","code:NullFlavor_9","  skos:prefLabel","""ASKU""","code.ttl"
"571","code:NumericOutcome","  rdf:type","owl:Class","code.ttl"
"572","code:NumericOutcome","  rdfs:subClassOf","code:DefinedActivityOutcome","code.ttl"
"573","code:Observation","  rdf:type","owl:Class","code.ttl"
"574","code:Observation","  rdfs:comment","""could be replaced in the future with a robust terminology for observations such as CDISC terminology or LOINC""","code.ttl"
"575","code:Observation","  rdfs:subClassOf","code:Intervention","code.ttl"
"576","code:Observation","      rdf:type","owl:Restriction","code.ttl"
"577","code:Observation","      owl:allValuesFrom","code:ObservationOutcome","code.ttl"
"578","code:Observation","      owl:onProperty","code:outcome","code.ttl"
"579","code:Observation","  skos:prefLabel","""Observation term""","code.ttl"
"580","code:ObservationOutcome","  rdf:type","owl:Class","code.ttl"
"581","code:ObservationOutcome","  rdfs:comment","""""","code.ttl"
"582","code:ObservationOutcome","  rdfs:subClassOf","code:InterventionOutcome","code.ttl"
"583","code:ObservationOutcome","  skos:definition","""""","code.ttl"
"584","code:ObservationOutcome","  skos:prefLabel","""Observation outcome term""","code.ttl"
"585","code:Oral_Cavity","  rdf:type","code:AnatomicLocation","code.ttl"
"586","code:Oral_Cavity","  rdf:type","mms:PermissibleValue","code.ttl"
"587","code:Oral_Cavity","  skos:prefLabel","""ORAL CAVITY""","code.ttl"
"588","code:Oral_Cavity","  schema:cdiscDefinition","""The cavity located at the upper end of the alimentary canal, behind the teeth and gums that is bounded on the outside by the lips, above by the hard and soft palates and below by the tongue. (NCI)""","code.ttl"
"589","code:Oral_Cavity","  schema:cdiscSubmissionValue","""ORAL CAVITY""","code.ttl"
"590","code:Oral_Cavity","  schema:cdiscSynonyms","""Oral Cavity""","code.ttl"
"591","code:Oral_Cavity","  schema:nciCode","""C12421""","code.ttl"
"592","code:Oral_Cavity","  schema:nciPreferredTerm","""Oral Cavity""","code.ttl"
"593","code:Oral_Cavity","  mms:inValueDomain","sdtmterm:C74456","code.ttl"
"594","code:PharmClass_ACReleaseInhib","  rdf:type","code:PharmacologicClass","code.ttl"
"595","code:PharmClass_ACReleaseInhib","  skos:prefLabel","""Acetylcholine Release Inhibitor""","code.ttl"
"596","code:PharmClass_ACReleaseInhib","  code:hasCodeSystem","code:CodeSystem_NDFRT","code.ttl"
"597","code:PharmacologicClass","  rdf:type","owl:Class","code.ttl"
"598","code:PharmacologicClass","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"599","code:PharmacologicClass","  skos:prefLabel","""Pharmacologic class""","code.ttl"
"600","<https://w3id.org/phuse/code#PlannedSubjectAge_NULL.PINF>","  rdf:type","code:Age","code.ttl"
"601","<https://w3id.org/phuse/code#PlannedSubjectAge_NULL.PINF>","  skos:prefLabel","""\""\""""","code.ttl"
"602","<https://w3id.org/phuse/code#PlannedSubjectAge_NULL.PINF>","  code:hasNullFlavor","code:NullFlavor_4","code.ttl"
"603","<https://w3id.org/phuse/code#PlannedSubjectAge_NULL.PINF>","  code:hasValue","""\""\""""","code.ttl"
"604","code:PlannedSubjectAge_P50Y","  rdf:type","code:Age","code.ttl"
"605","code:PlannedSubjectAge_P50Y","  skos:prefLabel","""Planned subject age P50Y""","code.ttl"
"606","code:PlannedSubjectAge_P50Y","  code:hasValue","""P50Y""^^xsd:duration","code.ttl"
"607","code:Product","  rdf:type","owl:Class","code.ttl"
"608","code:Product","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"609","code:Product","  skos:prefLabel","""Product""","code.ttl"
"610","code:Pulse","  rdf:type","owl:Class","code.ttl"
"611","code:Pulse","  rdf:type","mms:PermissibleValue","code.ttl"
"612","code:Pulse","  rdfs:subClassOf","code:VitalSign","code.ttl"
"613","code:Pulse","      rdf:type","owl:Restriction","code.ttl"
"614","code:Pulse","      owl:allValuesFrom","code:PulseOutcome","code.ttl"
"615","code:Pulse","      owl:onProperty","code:outcome","code.ttl"
"616","code:Pulse","      rdf:type","owl:Restriction","code.ttl"
"617","code:Pulse","      owl:hasValue","""PULSE""","code.ttl"
"618","code:Pulse","      owl:onProperty","skos:prefLabel","code.ttl"
"619","code:Pulse","      rdf:type","owl:Restriction","code.ttl"
"620","code:Pulse","      owl:hasValue","""Pulse Rate""","code.ttl"
"621","code:Pulse","      owl:onProperty","skos:altLabel","code.ttl"
"622","code:Pulse","  skos:prefLabel","""Pulse Rate""","code.ttl"
"623","code:Pulse","  schema:cdiscDefinition","""The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot. (NCI)""","code.ttl"
"624","code:Pulse","  schema:cdiscSubmissionValue","""Pulse Rate""","code.ttl"
"625","code:Pulse","  schema:cdiscSynonyms","""Pulse Rate""","code.ttl"
"626","code:Pulse","  schema:nciCode","""C49676""","code.ttl"
"627","code:Pulse","  schema:nciPreferredTerm","""Pulse Rate""","code.ttl"
"628","code:Pulse","  mms:inValueDomain","sdtmterm:C67153","code.ttl"
"629","code:PulseOutcome","  rdf:type","owl:Class","code.ttl"
"630","code:PulseOutcome","  rdfs:label","""Pulse outcome""","code.ttl"
"631","code:PulseOutcome","  rdfs:subClassOf","code:NumericOutcome","code.ttl"
"632","code:PulseOutcome","  rdfs:subClassOf","code:VitalSignsOutcome","code.ttl"
"633","code:PulseUnit","  rdf:type","owl:Class","code.ttl"
"634","code:PulseUnit","  rdfs:subClassOf","code:Unit","code.ttl"
"635","code:Race","  rdf:type","owl:Class","code.ttl"
"636","code:Race","  rdfs:comment","""""","code.ttl"
"637","code:Race","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"638","code:Race","  rdfs:subClassOf","code:DemographicData","code.ttl"
"639","code:Race","  skos:definition","""""","code.ttl"
"640","code:Race","  skos:prefLabel","""RACE""","code.ttl"
"641","code:Race","  code:isExtensible","""false""^^xsd:boolean","code.ttl"
"642","code:RaceDataCollection","  rdf:type","owl:Class","code.ttl"
"643","code:RaceDataCollection","  rdfs:subClassOf","code:DemographicDataCollection","code.ttl"
"644","code:RaceDataCollection","      rdf:type","owl:Restriction","code.ttl"
"645","code:RaceDataCollection","      owl:allValuesFrom","code:Race","code.ttl"
"646","code:RaceDataCollection","      owl:onProperty","code:outcome","code.ttl"
"647","code:RaceDataCollection","      rdf:type","owl:Restriction","code.ttl"
"648","code:RaceDataCollection","      owl:minCardinality","""1""^^xsd:nonNegativeInteger","code.ttl"
"649","code:RaceDataCollection","      owl:onProperty","code:outcome","code.ttl"
"650","code:Race_AMERICAN_INDIAN_OR_ALASKA_NATIVE","  rdf:type","code:Race","code.ttl"
"651","code:Race_AMERICAN_INDIAN_OR_ALASKA_NATIVE","  skos:altLabel","""""","code.ttl"
"652","code:Race_AMERICAN_INDIAN_OR_ALASKA_NATIVE","  skos:prefLabel","""AMERICAN INDIAN OR ALASKA NATIVE""","code.ttl"
"653","code:Race_ASIAN","  rdf:type","code:Race","code.ttl"
"654","code:Race_ASIAN","  skos:altLabel","""""","code.ttl"
"655","code:Race_ASIAN","  skos:prefLabel","""ASIAN""","code.ttl"
"656","code:Race_BLACK_OR_AFRICAN_AMERICAN","  rdf:type","code:Race","code.ttl"
"657","code:Race_BLACK_OR_AFRICAN_AMERICAN","  skos:altLabel","""""","code.ttl"
"658","code:Race_BLACK_OR_AFRICAN_AMERICAN","  skos:prefLabel","""BLACK OR AFRICAN AMERICAN""","code.ttl"
"659","code:Race_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER","  rdf:type","code:Race","code.ttl"
"660","code:Race_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER","  skos:altLabel","""""","code.ttl"
"661","code:Race_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER","  skos:prefLabel","""NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER""","code.ttl"
"662","code:Race_WHITE","  rdf:type","code:Race","code.ttl"
"663","code:Race_WHITE","  skos:altLabel","""""","code.ttl"
"664","code:Race_WHITE","  skos:prefLabel","""WHITE""","code.ttl"
"665","code:Randomization","  rdf:type","owl:Class","code.ttl"
"666","code:Randomization","  rdfs:subClassOf","code:AdministrativeActivity","code.ttl"
"667","code:Randomization","      rdf:type","owl:Restriction","code.ttl"
"668","code:Randomization","      owl:allValuesFrom","code:RandomizationOutcome","code.ttl"
"669","code:Randomization","      owl:onProperty","code:outcome","code.ttl"
"670","code:Randomization","  skos:altLabel","""""","code.ttl"
"671","code:Randomization","  skos:prefLabel","""Randomization""","code.ttl"
"672","code:RandomizationBAL3","  rdf:type","owl:Class","code.ttl"
"673","code:RandomizationBAL3","  rdfs:subClassOf","code:Randomization","code.ttl"
"674","code:RandomizationBAL3","  skos:altLabel","""""","code.ttl"
"675","code:RandomizationBAL3","  skos:prefLabel","""Randomization BAL3""","code.ttl"
"676","code:RandomizationOutcome","  rdf:type","owl:Class","code.ttl"
"677","code:RandomizationOutcome","  rdfs:label","""Randomization outcome""","code.ttl"
"678","code:RandomizationOutcome","  rdfs:subClassOf","code:AdministrativeActivityOutcome","code.ttl"
"679","code:RandomizationOutcome","  code:isExtensible","""true""^^xsd:boolean","code.ttl"
"680","code:RouteOfAdministration","  rdf:type","owl:Class","code.ttl"
"681","code:RouteOfAdministration","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"682","code:RouteOfAdministration","  skos:prefLabel","""Route of administration""","code.ttl"
"683","code:Rule","  rdf:type","owl:Class","code.ttl"
"684","code:Rule","  rdfs:label","""Rule""","code.ttl"
"685","code:Rule","  rdfs:subClassOf","code:Analysis","code.ttl"
"686","code:Rule","  rdfs:subClassOf","code:CategoricalOutcome","code.ttl"
"687","code:Rule","      rdf:type","owl:Restriction","code.ttl"
"688","code:Rule","      owl:allValuesFrom","code:RuleOutcome","code.ttl"
"689","code:Rule","      owl:onProperty","code:outcome","code.ttl"
"690","code:RuleOutcome","  rdf:type","owl:Class","code.ttl"
"691","code:RuleOutcome","  rdfs:subClassOf","code:CategoricalOutcome","code.ttl"
"692","code:RuleOutcome","  rdfs:subClassOf","code:DefinedActivityOutcome","code.ttl"
"693","code:RuleOutcome","  skos:prefLabel","""Rule outcome""","code.ttl"
"694","code:RuleOutcome","  code:isExtensible","""false""^^xsd:boolean","code.ttl"
"695","code:RuleOutcome_FALSE","  rdf:type","code:RuleOutcome","code.ttl"
